2010-10-16 11:31:58+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:31:58+0200 [eztv] INFO: Spider opened
2010-10-16 11:31:58+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/90/everybody-hates-chris/> (referer: None)
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E22.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='22', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E22.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='22', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=f5773d5fec3782069445def9216359aed73a5d00', serie='Everybody Hates Chris', epi='22', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=f5773d5fec3782069445def9216359aed73a5d00', serie='Everybody Hates Chris', epi='22', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://re.zoink.it/4a04fd50', serie='Everybody Hates Chris', epi='22', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://re.zoink.it/4a04fd50', serie='Everybody Hates Chris', epi='22', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E21.HDTV.XviD-2HD.[eztv].torrent', serie='Everybody Hates Chris', epi='21', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E21.HDTV.XviD-2HD.[eztv].torrent', serie='Everybody Hates Chris', epi='21', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=5e63fc822b32f82fd4fd33e6727448b91257fa7b', serie='Everybody Hates Chris', epi='21', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=5e63fc822b32f82fd4fd33e6727448b91257fa7b', serie='Everybody Hates Chris', epi='21', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2549957', serie='Everybody Hates Chris', epi='21', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2549957', serie='Everybody Hates Chris', epi='21', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E20.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='20', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E20.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='20', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=c7cee77f469d70bd0e87e7437c3d9edc53b344c4', serie='Everybody Hates Chris', epi='20', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=c7cee77f469d70bd0e87e7437c3d9edc53b344c4', serie='Everybody Hates Chris', epi='20', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2523973', serie='Everybody Hates Chris', epi='20', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2523973', serie='Everybody Hates Chris', epi='20', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E19.Everybody.Hates.Back.Talk.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='19', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E19.Everybody.Hates.Back.Talk.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='19', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=c85007506e7017ea8a5b553c90f8bf06f1f874e1', serie='Everybody Hates Chris', epi='19', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=c85007506e7017ea8a5b553c90f8bf06f1f874e1', serie='Everybody Hates Chris', epi='19', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2450298', serie='Everybody Hates Chris', epi='19', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2450298', serie='Everybody Hates Chris', epi='19', type='Torrent')
