2010-10-16 11:32:40+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:32:40+0200 [eztv] INFO: Spider opened
2010-10-16 11:32:40+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/139/jurassic-fight-club/> (referer: None)
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E11.Raptor.vs.T-Rex.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='11', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E11.Raptor.vs.T-Rex.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='11', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=3d04ec9f740f7ffc158aafda7ce0485a0f96a37f', serie='Jurassic Fight Club', epi='11', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=3d04ec9f740f7ffc158aafda7ce0485a0f96a37f', serie='Jurassic Fight Club', epi='11', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1931293', serie='Jurassic Fight Club', epi='11', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1931293', serie='Jurassic Fight Club', epi='11', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E10.River.of.Death.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='10', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E10.River.of.Death.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='10', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=fc5f3b3025f86acaea3ca5a1dc27966226b38ac3', serie='Jurassic Fight Club', epi='10', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=fc5f3b3025f86acaea3ca5a1dc27966226b38ac3', serie='Jurassic Fight Club', epi='10', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1897000', serie='Jurassic Fight Club', epi='10', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1897000', serie='Jurassic Fight Club', epi='10', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E09.Ice.Age.Monsters.Mega.Lion.VS.God.Bear.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='09', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E09.Ice.Age.Monsters.Mega.Lion.VS.God.Bear.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='09', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=ddd699d87368e26a52f6bbf0969a1e351473b4fd', serie='Jurassic Fight Club', epi='09', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=ddd699d87368e26a52f6bbf0969a1e351473b4fd', serie='Jurassic Fight Club', epi='09', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1868767', serie='Jurassic Fight Club', epi='09', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1868767', serie='Jurassic Fight Club', epi='09', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E08.Raptors.Last.Stand.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='08', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E08.Raptors.Last.Stand.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='08', type='Torrent')
