2010-10-16 11:36:19+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:36:19+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:36:19+0200 [eztv] INFO: Spider opened
2010-10-16 11:36:20+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/236/rush/> (referer: None)
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E11.WS.PDTV.XviD-HDCP.[eztv].torrent', serie='Rush', epi='11', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E11.WS.PDTV.XviD-HDCP.[eztv].torrent', serie='Rush', epi='11', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=101223', serie='Rush', epi='11', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=101223', serie='Rush', epi='11', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E10.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='10', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E10.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='10', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=100196', serie='Rush', epi='10', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=100196', serie='Rush', epi='10', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/985BB44D7FCF396AF1122EC471291622D005C897.torrent', serie='Rush', epi='10', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/985BB44D7FCF396AF1122EC471291622D005C897.torrent', serie='Rush', epi='10', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E09.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='09', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E09.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='09', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=99184', serie='Rush', epi='09', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=99184', serie='Rush', epi='09', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/49EB75FA08978F258DA5EEF8336325633C3CD59E.torrent', serie='Rush', epi='09', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/49EB75FA08978F258DA5EEF8336325633C3CD59E.torrent', serie='Rush', epi='09', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/49EB75FA08978F258DA5EEF8336325633C3CD59E.torrent', serie='Rush', epi='09', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/49EB75FA08978F258DA5EEF8336325633C3CD59E.torrent', serie='Rush', epi='09', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E08.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='08', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E08.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='08', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=98485', serie='Rush', epi='08', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=98485', serie='Rush', epi='08', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/C1EED54606F748969CFE5C4E06F52BD95FB273F9.torrent', serie='Rush', epi='08', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/C1EED54606F748969CFE5C4E06F52BD95FB273F9.torrent', serie='Rush', epi='08', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/C1EED54606F748969CFE5C4E06F52BD95FB273F9.torrent', serie='Rush', epi='08', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/C1EED54606F748969CFE5C4E06F52BD95FB273F9.torrent', serie='Rush', epi='08', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E07.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='07', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E07.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='07', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=97481', serie='Rush', epi='07', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=97481', serie='Rush', epi='07', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/604652482E70711AFD7FF1571637641E44A3C19A.torrent', serie='Rush', epi='07', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/604652482E70711AFD7FF1571637641E44A3C19A.torrent', serie='Rush', epi='07', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/604652482E70711AFD7FF1571637641E44A3C19A.torrent', serie='Rush', epi='07', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/604652482E70711AFD7FF1571637641E44A3C19A.torrent', serie='Rush', epi='07', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E06.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='06', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E06.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='06', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=96415', serie='Rush', epi='06', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=96415', serie='Rush', epi='06', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/9D140C8CAF2186CCF0221BA254CFF7D040237ADB.torrent', serie='Rush', epi='06', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/9D140C8CAF2186CCF0221BA254CFF7D040237ADB.torrent', serie='Rush', epi='06', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/9D140C8CAF2186CCF0221BA254CFF7D040237ADB.torrent', serie='Rush', epi='06', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/9D140C8CAF2186CCF0221BA254CFF7D040237ADB.torrent', serie='Rush', epi='06', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E05.WS.PDTV.XviD-BWB.[eztv].torrent', serie='Rush', epi='05', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E05.WS.PDTV.XviD-BWB.[eztv].torrent', serie='Rush', epi='05', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=95504', serie='Rush', epi='05', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=95504', serie='Rush', epi='05', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/CFCA5E586ECDD359F91426CC736970ACEC26E8E1.torrent', serie='Rush', epi='05', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/CFCA5E586ECDD359F91426CC736970ACEC26E8E1.torrent', serie='Rush', epi='05', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/CFCA5E586ECDD359F91426CC736970ACEC26E8E1.torrent', serie='Rush', epi='05', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/CFCA5E586ECDD359F91426CC736970ACEC26E8E1.torrent', serie='Rush', epi='05', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E04.PROPER.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E04.PROPER.WS.PDTV.XviD-FQM.[eztv].torrent', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=94622', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=94622', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/500D25939D1C48982D84157E8D95E707208E719F.torrent', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/500D25939D1C48982D84157E8D95E707208E719F.torrent', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/500D25939D1C48982D84157E8D95E707208E719F.torrent', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/500D25939D1C48982D84157E8D95E707208E719F.torrent', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E04.WS.PDTV.XviD-RTA.[eztv].torrent', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E04.WS.PDTV.XviD-RTA.[eztv].torrent', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=94246', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=94246', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/79717008D94EF5DA6D18636F074855EFBCCFDEC3.torrent', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/79717008D94EF5DA6D18636F074855EFBCCFDEC3.torrent', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/79717008D94EF5DA6D18636F074855EFBCCFDEC3.torrent', serie='Rush', epi='04', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/79717008D94EF5DA6D18636F074855EFBCCFDEC3.torrent', serie='Rush', epi='04', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E03.WS.PDTV.XviD-RTA.[eztv].torrent', serie='Rush', epi='03', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrent.zoink.it/Rush.S03E03.WS.PDTV.XviD-RTA.[eztv].torrent', serie='Rush', epi='03', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=93198', serie='Rush', epi='03', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://www.bt-chat.com/download1.php?id=93198', serie='Rush', epi='03', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/86EFF782C4D9A1D103ACFECC197FA8C7E01FE10A.torrent', serie='Rush', epi='03', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://torrage.com/torrent/86EFF782C4D9A1D103ACFECC197FA8C7E01FE10A.torrent', serie='Rush', epi='03', type='Torrent')
2010-10-16 11:36:20+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/86EFF782C4D9A1D103ACFECC197FA8C7E01FE10A.torrent', serie='Rush', epi='03', type='Torrent') in <http://eztv.it/shows/236/rush/>
2010-10-16 11:36:20+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='03', links='http://zoink.it/torrent/86EFF782C4D9A1D103ACFECC197FA8C7E01FE10A.torrent', serie='Rush', epi='03', type='Torrent')
